Subsidiary,Month,Year,Ridership
RTS,4,2006,1066870
RTS,5,2006,1217939
RTS,6,2006,1183756
RTS,7,2006,933542
RTS,8,2006,1018668
RTS,9,2006,1227358
RTS,10,2006,1307201
RTS,11,2006,1252595
RTS,12,2006,1178240
RTS,1,2007,1312857
RTS,2,2007,1024364
RTS,3,2007,1327453
RTS,4,2007,1175758
RTS,5,2007,1419323
RTS,6,2007,1243035
RTS,7,2007,1183558
RTS,8,2007,1197149
RTS,9,2007,1215283
RTS,10,2007,1390065
RTS,11,2007,1247593
RTS,12,2007,1135866
RTS,1,2008,1337090
RTS,2,2008,1205912
RTS,3,2008,1312712
RTS,4,2008,1291456
RTS,5,2008,1385221
RTS,6,2008,1383113
RTS,7,2008,1244695
RTS,8,2008,1139531
RTS,9,2008,1552479
RTS,10,2008,1635706
RTS,11,2008,1368276
RTS,12,2008,1356130
RTS,1,2009,1477870
RTS,2,2009,1348092
RTS,3,2009,1554685
RTS,4,2009,1377039
RTS,5,2009,1483123
RTS,6,2009,1434123
RTS,7,2009,1221534
RTS,8,2009,1115882
RTS,9,2009,1534762
RTS,10,2009,1579328
RTS,11,2009,1387184
RTS,12,2009,1330451
RTS,1,2010,1437704
RTS,2,2010,1286915
RTS,3,2010,1637746
RTS,4,2010,1384187
RTS,5,2010,1445533
RTS,6,2010,1397040
RTS,7,2010,1251525
RTS,8,2010,1206662
RTS,9,2010,1508099
RTS,10,2010,1535758
RTS,11,2010,1424892
RTS,12,2010,1322725
RTS,1,2011,1464574
RTS,2,2011,1295788
RTS,3,2011,1663343
RTS,4,2011,1406128
RTS,5,2011,1548508
RTS,6,2011,1454877
RTS,7,2011,1233466
RTS,8,2011,1285596
RTS,9,2011,1577705
RTS,10,2011,1581780
RTS,11,2011,1476987
RTS,12,2011,1399985
RTS,1,2012,1549775
RTS,2,2012,1440456
RTS,3,2012,1614907
RTS,4,2012,1367215
RTS,5,2012,1559536
RTS,6,2012,1407904
RTS,7,2012,1252287
RTS,8,2012,1303808
RTS,9,2012,1483475
RTS,10,2012,1642908
RTS,11,2012,1473780
RTS,12,2012,1359309
RTS,1,2013,1525251
RTS,2,2013,1352064
RTS,3,2013,1529562
Lift Line ,4,2006,14268
Lift Line ,5,2006,15017
Lift Line ,6,2006,14994
Lift Line ,7,2006,13494
Lift Line ,8,2006,15005
Lift Line ,9,2006,14374
Lift Line ,10,2006,15826
Lift Line ,11,2006,15049
Lift Line ,12,2006,14907
Lift Line ,1,2007,15642
Lift Line ,2,2007,13440
Lift Line ,3,2007,16179
Lift Line ,4,2007,14247
Lift Line ,5,2007,15642
Lift Line ,6,2007,14533
Lift Line ,7,2007,14212
Lift Line ,8,2007,14674
Lift Line ,9,2007,13840
Lift Line ,10,2007,15923
Lift Line ,11,2007,15042
Lift Line ,12,2007,14338
Lift Line ,1,2008,15838
Lift Line ,2,2008,15007
Lift Line ,3,2008,15984
Lift Line ,4,2008,15370
Lift Line ,5,2008,15141
Lift Line ,6,2008,14880
Lift Line ,7,2008,15226
Lift Line ,8,2008,14516
Lift Line ,9,2008,14933
Lift Line ,10,2008,15774
Lift Line ,11,2008,14829
Lift Line ,12,2008,14808
Lift Line ,1,2009,14852
Lift Line ,2,2009,14688
Lift Line ,3,2009,16686
Lift Line ,4,2009,15248
Lift Line ,5,2009,14968
Lift Line ,6,2009,15530
Lift Line ,7,2009,15196
Lift Line ,8,2009,14460
Lift Line ,9,2009,14952
Lift Line ,10,2009,15042
Lift Line ,11,2009,14019
Lift Line ,12,2009,15012
Lift Line ,1,2010,14647
Lift Line ,2,2010,14121
Lift Line ,3,2010,16475
Lift Line ,4,2010,14305
Lift Line ,5,2010,13770
Lift Line ,6,2010,14197
Lift Line ,7,2010,13824
Lift Line ,8,2010,13873
Lift Line ,9,2010,13984
Lift Line ,10,2010,14257
Lift Line ,11,2010,13984
Lift Line ,12,2010,14195
Lift Line ,1,2011,14088
Lift Line ,2,2011,12643
Lift Line ,3,2011,15116
Lift Line ,4,2011,13827
Lift Line ,5,2011,13658
Lift Line ,6,2011,14103
Lift Line ,7,2011,13206
Lift Line ,8,2011,13577
Lift Line ,9,2011,13861
Lift Line ,10,2011,13811
Lift Line ,11,2011,13776
Lift Line ,12,2011,14097
Lift Line ,1,2012,13933
Lift Line ,2,2012,14426
Lift Line ,3,2012,15564
Lift Line ,4,2012,13807
Lift Line ,5,2012,14294
Lift Line ,6,2012,13839
Lift Line ,7,2012,13194
Lift Line ,8,2012,13890
Lift Line ,9,2012,12780
Lift Line ,10,2012,14429
Lift Line ,11,2012,14486
Lift Line ,12,2012,13689
Lift Line ,1,2013,15046
Lift Line ,2,2013,14212
Lift Line ,3,2013,15688
Batavia Bus Service,4,2006,6314
Batavia Bus Service,5,2006,6719
Batavia Bus Service,6,2006,5142
Batavia Bus Service,7,2006,3806
Batavia Bus Service,8,2006,5008
Batavia Bus Service,9,2006,7034
Batavia Bus Service,10,2006,7381
Batavia Bus Service,11,2006,6846
Batavia Bus Service,12,2006,6122
Batavia Bus Service,1,2007,7019
Batavia Bus Service,2,2007,6477
Batavia Bus Service,3,2007,7573
Batavia Bus Service,4,2007,6653
Batavia Bus Service,5,2007,6807
Batavia Bus Service,6,2007,5244
Batavia Bus Service,7,2007,4469
Batavia Bus Service,8,2007,5272
Batavia Bus Service,9,2007,6377
Batavia Bus Service,10,2007,7504
Batavia Bus Service,11,2007,6676
Batavia Bus Service,12,2007,5867
Batavia Bus Service,1,2008,6323
Batavia Bus Service,2,2008,6959
Batavia Bus Service,3,2008,6824
Batavia Bus Service,4,2008,5616
Batavia Bus Service,5,2008,5141
Batavia Bus Service,6,2008,4001
Batavia Bus Service,7,2008,3842
Batavia Bus Service,8,2008,3820
Batavia Bus Service,9,2008,5837
Batavia Bus Service,10,2008,6242
Batavia Bus Service,11,2008,5081
Batavia Bus Service,12,2008,5166
Batavia Bus Service,1,2009,5297
Batavia Bus Service,2,2009,5573
