Subsidiary,Month,Year,Ridership
Regional Transit Service,4,2006,1066870
Regional Transit Service,5,2006,1217939
Regional Transit Service,6,2006,1183756
Regional Transit Service,7,2006,933542
Regional Transit Service,8,2006,1018668
Regional Transit Service,9,2006,1227358
Regional Transit Service,10,2006,1307201
Regional Transit Service,11,2006,1252595
Regional Transit Service,12,2006,1178240
Regional Transit Service,1,2007,1312857
Regional Transit Service,2,2007,1024364
Regional Transit Service,3,2007,1327453
Regional Transit Service,4,2007,1175758
Regional Transit Service,5,2007,1419323
Regional Transit Service,6,2007,1243035
Regional Transit Service,7,2007,1183558
Regional Transit Service,8,2007,1197149
Regional Transit Service,9,2007,1215283
Regional Transit Service,10,2007,1390065
Regional Transit Service,11,2007,1247593
Regional Transit Service,12,2007,1135866
Regional Transit Service,1,2008,1337090
Regional Transit Service,2,2008,1205912
Regional Transit Service,3,2008,1312712
Regional Transit Service,4,2008,1291456
Regional Transit Service,5,2008,1385221
Regional Transit Service,6,2008,1383113
Regional Transit Service,7,2008,1244695
Regional Transit Service,8,2008,1139531
Regional Transit Service,9,2008,1552479
Regional Transit Service,10,2008,1635706
Regional Transit Service,11,2008,1368276
Regional Transit Service,12,2008,1356130
Regional Transit Service,1,2009,1477870
Regional Transit Service,2,2009,1348092
Regional Transit Service,3,2009,1554685
Regional Transit Service,4,2009,1377039
Regional Transit Service,5,2009,1483123
Regional Transit Service,6,2009,1434123
Regional Transit Service,7,2009,1221534
Regional Transit Service,8,2009,1115882
Regional Transit Service,9,2009,1534762
Regional Transit Service,10,2009,1579328
Regional Transit Service,11,2009,1387184
Regional Transit Service,12,2009,1330451
Regional Transit Service,1,2010,1437704
Regional Transit Service,2,2010,1286915
Regional Transit Service,3,2010,1637746
Regional Transit Service,4,2010,1384187
Regional Transit Service,5,2010,1445533
Regional Transit Service,6,2010,1397040
Regional Transit Service,7,2010,1251525
Regional Transit Service,8,2010,1206662
Regional Transit Service,9,2010,1508099
Regional Transit Service,10,2010,1535758
Regional Transit Service,11,2010,1424892
Regional Transit Service,12,2010,1322725
Regional Transit Service,1,2011,1464574
Regional Transit Service,2,2011,1295788
Regional Transit Service,3,2011,1663343
Regional Transit Service,4,2011,1406128
Regional Transit Service,5,2011,1548508
Regional Transit Service,6,2011,1454877
Regional Transit Service,7,2011,1233466
Regional Transit Service,8,2011,1285596
Regional Transit Service,9,2011,1577705
Regional Transit Service,10,2011,1581780
Regional Transit Service,11,2011,1476987
Regional Transit Service,12,2011,1399985
Regional Transit Service,1,2012,1549775
Regional Transit Service,2,2012,1440456
Regional Transit Service,3,2012,1614907
Regional Transit Service,4,2012,1367215
Regional Transit Service,5,2012,1559536
Regional Transit Service,6,2012,1407904
Regional Transit Service,7,2012,1252287
Regional Transit Service,8,2012,1303808
Regional Transit Service,9,2012,1483475
Regional Transit Service,10,2012,1642908
Regional Transit Service,11,2012,1473780
Regional Transit Service,12,2012,1359309
Regional Transit Service,1,2013,1525251
Regional Transit Service,2,2013,1352064
Regional Transit Service,3,2013,1529562
Lift Line ,4,2006,14268
Lift Line ,5,2006,15017
Lift Line ,6,2006,14994
Lift Line ,7,2006,13494
Lift Line ,8,2006,15005
Lift Line ,9,2006,14374
Lift Line ,10,2006,15826
Lift Line ,11,2006,15049
Lift Line ,12,2006,14907
Lift Line ,1,2007,15642
Lift Line ,2,2007,13440
Lift Line ,3,2007,16179
Lift Line ,4,2007,14247
Lift Line ,5,2007,15642
Lift Line ,6,2007,14533
Lift Line ,7,2007,14212
Lift Line ,8,2007,14674
Lift Line ,9,2007,13840
Lift Line ,10,2007,15923
Lift Line ,11,2007,15042
Lift Line ,12,2007,14338
Lift Line ,1,2008,15838
Lift Line ,2,2008,15007
Lift Line ,3,2008,15984
Lift Line ,4,2008,15370
Lift Line ,5,2008,15141
Lift Line ,6,2008,14880
Lift Line ,7,2008,15226
Lift Line ,8,2008,14516
Lift Line ,9,2008,14933
Lift Line ,10,2008,15774
Lift Line ,11,2008,14829
Lift Line ,12,2008,14808
Lift Line ,1,2009,14852
Lift Line ,2,2009,14688
Lift Line ,3,2009,16686
Lift Line ,4,2009,15248
Lift Line ,5,2009,14968
Lift Line ,6,2009,15530
Lift Line ,7,2009,15196
Lift Line ,8,2009,14460
Lift Line ,9,2009,14952
Lift Line ,10,2009,15042
Lift Line ,11,2009,14019
Lift Line ,12,2009,15012
Lift Line ,1,2010,14647
Lift Line ,2,2010,14121
Lift Line ,3,2010,16475
Lift Line ,4,2010,14305
Lift Line ,5,2010,13770
Lift Line ,6,2010,14197
Lift Line ,7,2010,13824
Lift Line ,8,2010,13873
Lift Line ,9,2010,13984
Lift Line ,10,2010,14257
Lift Line ,11,2010,13984
Lift Line ,12,2010,14195
Lift Line ,1,2011,14088
Lift Line ,2,2011,12643
Lift Line ,3,2011,15116
Lift Line ,4,2011,13827
Lift Line ,5,2011,13658
Lift Line ,6,2011,14103
Lift Line ,7,2011,13206
Lift Line ,8,2011,13577
Lift Line ,9,2011,13861
Lift Line ,10,2011,13811
Lift Line ,11,2011,13776
Lift Line ,12,2011,14097
Lift Line ,1,2012,13933
Lift Line ,2,2012,14426
Lift Line ,3,2012,15564
Lift Line ,4,2012,13807
Lift Line ,5,2012,14294
Lift Line ,6,2012,13839
Lift Line ,7,2012,13194
Lift Line ,8,2012,13890
Lift Line ,9,2012,12780
Lift Line ,10,2012,14429
Lift Line ,11,2012,14486
Lift Line ,12,2012,13689
Lift Line ,1,2013,15046
Lift Line ,2,2013,14212
Lift Line ,3,2013,15688
Batavia Bus Service,4,2006,6314
Batavia Bus Service,5,2006,6719
Batavia Bus Service,6,2006,5142
Batavia Bus Service,7,2006,3806
Batavia Bus Service,8,2006,5008
Batavia Bus Service,9,2006,7034
Batavia Bus Service,10,2006,7381
Batavia Bus Service,11,2006,6846
Batavia Bus Service,12,2006,6122
Batavia Bus Service,1,2007,7019
Batavia Bus Service,2,2007,6477
Batavia Bus Service,3,2007,7573
Batavia Bus Service,4,2007,6653
Batavia Bus Service,5,2007,6807
Batavia Bus Service,6,2007,5244
Batavia Bus Service,7,2007,4469
Batavia Bus Service,8,2007,5272
Batavia Bus Service,9,2007,6377
Batavia Bus Service,10,2007,7504
Batavia Bus Service,11,2007,6676
Batavia Bus Service,12,2007,5867
Batavia Bus Service,1,2008,6323
Batavia Bus Service,2,2008,6959
Batavia Bus Service,3,2008,6824
Batavia Bus Service,4,2008,5616
Batavia Bus Service,5,2008,5141
Batavia Bus Service,6,2008,4001
Batavia Bus Service,7,2008,3842
Batavia Bus Service,8,2008,3820
Batavia Bus Service,9,2008,5837
Batavia Bus Service,10,2008,6242
Batavia Bus Service,11,2008,5081
Batavia Bus Service,12,2008,5166
Batavia Bus Service,1,2009,5297
Batavia Bus Service,2,2009,5573
Batavia Bus Service,3,2009,5820
Batavia Bus Service,4,2009,5812
Batavia Bus Service,5,2009,5146
Batavia Bus Service,6,2009,4348
Batavia Bus Service,7,2009,3986
Batavia Bus Service,8,2009,4109
Batavia Bus Service,9,2009,5765
Batavia Bus Service,10,2009,6201
Batavia Bus Service,11,2009,5454
Batavia Bus Service,12,2009,5435
Batavia Bus Service,1,2010,4913
Batavia Bus Service,2,2010,5696
Batavia Bus Service,3,2010,6262
Batavia Bus Service,4,2010,5957
Batavia Bus Service,5,2010,5186
Batavia Bus Service,6,2010,4400
Batavia Bus Service,7,2010,3889
Batavia Bus Service,8,2010,4300
Batavia Bus Service,9,2010,5467
Batavia Bus Service,10,2010,5508
Batavia Bus Service,11,2010,5384
Batavia Bus Service,12,2010,5215
Batavia Bus Service,1,2011,5528
Batavia Bus Service,2,2011,5677
Batavia Bus Service,3,2011,6737
Batavia Bus Service,4,2011,5632
Batavia Bus Service,5,2011,5345
Batavia Bus Service,6,2011,4493
Batavia Bus Service,7,2011,3999
Batavia Bus Service,8,2011,4914
Batavia Bus Service,9,2011,6209
Batavia Bus Service,10,2011,5965
Batavia Bus Service,11,2011,5908
Batavia Bus Service,12,2011,5209
Batavia Bus Service,1,2012,5703
Batavia Bus Service,2,2012,6392
Batavia Bus Service,3,2012,6108
Batavia Bus Service,4,2012,5822
Batavia Bus Service,5,2012,5086
Batavia Bus Service,6,2012,3473
Batavia Bus Service,7,2012,3060
Batavia Bus Service,8,2012,4133
Batavia Bus Service,9,2012,5429
Batavia Bus Service,10,2012,6457
Batavia Bus Service,11,2012,5844
Batavia Bus Service,12,2012,4398
Batavia Bus Service,1,2013,5183
Batavia Bus Service,2,2013,5648
Batavia Bus Service,3,2013,5420
